Organization,Program,Form,Page,Section,Type,Label,Label Arabic,ID,External ID,Data Type,Rendering,OptionSet name
MSF,Mental health,MHPSS Baseline,Problems / symptoms,Current symptoms or complaints,Answer,2.3 Loss of interest / anhedonia,فقدان الاهتمام,1389,51061bb9-6084-4bb3-b83b-5c234e45b09c,,,Current symptoms or complaints - Depression related
MSF,Mental health,MHPSS Baseline,Problems / symptoms,"Select the main problems prioritized as 1, 2 and 3 from the lists",Answer,2.5 Guilt/self-blame/low esteem,الشعور بالذنب / لوم الذات / الشعور بانعدام القيمة,3213,e8166325-9ddc-4739-9452-da63ee7862d2,,,Current symptoms or complaints - MH
